Index,Name,Info,ActorIndex,SkillGroup,TargetGroup,Power,AfterBuffIndex,Accurate,Speed,RscCode
15,도주,도망치자!,15,6,2,5,0,10000,0,Icon_Skill_Run
16,방어,견고한 자세로 상대의 공격을 막는다,15,6,2,5,0,10000,0,Icon_Skill_Defence
17,기합일발,"혈관이 터질만큼 기합을 넣어, 정신력으로 부상을 치료하는 기술",1,6,2,5,0,10000,0,Icon_Skill_Cheerup
18,천조족,전투시에만 사용하는 전용기술로 자신의 MP 치료기,1,6,2,5,0,10000,0,Icon_Skill_Drink
19,손톱공격,할퀴기 공격. 보기보단 아프니까 당하지 않게 주의,2,1,1,5,0,10000,1,Icon_Skill_Punch
20,하이킥,공중의 적에게도 높은 적중률을 지닌 상단차기. 위력이 강하다!,2,1,1,5,0,10000,1,Icon_Skill_Kick
21,미들킥,허벅지 부분을 집중 공격하는 강력한 공격기술,2,1,1,5,0,10000,1,Icon_Skill_Kick
22,로 킥,적의 발밑을 공격해 단숨에 쓰러트리는 하단차기,2,1,1,5,0,10000,1,Icon_Skill_Kick
24,안면백조권,얼굴이 걸레가 될 때까지 할퀴는 히스테릭한 공격,2,2,1,5,0,10000,1,Icon_Skill_Punch
25,선렬각,상·중하단으로 나눠서 하는 연속차기공격,2,2,1,5,0,10000,1,Icon_Skill_Punch
26,열화폭염권,주작권의 필살기. 폭염으로 공격하는 화염계 개인공격,2,2,1,5,0,10000,1,Icon_Skill_Punch
27,암각·영상승룡파,용이 상승하면서 여러번 대미지를 주는 초필살개인공격기,2,2,1,5,0,10000,1,Icon_Skill_Punch
28,고양이 달래기,상대를 놀래켜서 행동을 정지시키는 특수 전체공격기,2,3,4,5,0,10000,1,Icon_Skill_Punch
29,유미쌍조,잽싼 움직임으로 적의 숨통을 끊는 대지&대공기,2,3,4,5,0,10000,1,Icon_Skill_Punch
30,대폭진,현무권의 필살기로 적을 넘어뜨리는 전체 공격기술,2,3,4,5,0,10000,1,Icon_Skill_Punch
31,암각·영상뢰화,요사스러운 춤으로 뢰운을 불러들여 적전체에 뢰격공격,2,3,4,5,0,10000,1,Icon_Skill_Punch
23,도발,"적을 도발한 후 스스로 사기를 높여, 모드를 바꾸는 이상한 기술",2,6,1,5,0,10000,1,Icon_Skill_Punch
32,기공회복,아군1명을 회복시키는 기공기술이다!,2,6,2,5,0,10000,1,Icon_Skill_Punch
33,기공독치료,몸의 독소를 중화시키는 회복계의 전투 전용기. 단 대상은 한명뿐!!,2,6,2,5,0,10000,1,Icon_Skill_Punch
34,기공대회복,아군전원의 HP를 회복시키는 회복기술!!,2,6,2,5,0,10000,1,Icon_Skill_Punch
35,수경,창룡권의 필살기. 화·수·뢰 공격에 대한 방어력 상승,2,6,2,5,0,10000,1,Icon_Skill_Punch
36,베기,칼을 사용해 순식간에 베는 스마슈의 보통공격,3,1,1,5,0,10000,1,Icon_Skill_Punch
37,대타격,호쾌한 일격으로 적 하나에 큰 타격을 주는 필살기,3,1,1,5,0,10000,1,Icon_Skill_Punch
38,쾌진격,"기를 모아 단번에 방출, 빛의 형태로 적에게 돌진하는 개인공격필살기",3,2,1,5,0,10000,1,Icon_Skill_Punch
39,비검·목단미인,빙글빙글 회전하는 힘을 이용하여 적 한명을 없애는 기술,3,2,1,5,0,10000,1,Icon_Skill_Punch
40,백인일섬,한줄기 흰 섬광을 남기며 적전체를 공격하는 필살기,3,3,4,5,0,10000,1,Icon_Skill_Punch
41,인법·분신술,"으앗, 스마슈가 여러 명…?! 적 전체를 공격하는 분신공격기인가?!",3,3,4,5,0,10000,1,Icon_Skill_Punch
42,비검·시공단,검에서 뿜어내는 압력으로 시공을 뒤틀어버리는 초위력의 전체공격기,3,3,4,5,0,10000,1,Icon_Skill_Punch
43,눈요기,느긋하고 편안할 때 읽는 ○○책!!! 읽으면 공격력 상승. 전투중에는 안돼요!,3,6,2,5,0,10000,1,Icon_Skill_Punch
44,인법·몸감추기,회피력이 뛰어난 닌자다운 기술! 피하기만 해서야 별 의미가 없지!,3,6,2,5,0,10000,1,Icon_Skill_Punch
